Name,Year,Artist,Material,Neighborhood,Latitude,Longitude,Source,About,Title Status,Link
Madison Gateway,2004,Stephen Fischer,Metal,Monona,43.04735,-89.34004,Madison Art Collection,"A large metal ""M"" stands at the border between Madison and Monona.",Verified,https://airtable.com/shrknTvt8pz8Undgn/tblkZ4SesyZkElVaM/viwNc2sy55tCttQFj/recwMKt2GFsTMj1Lf
Untitled,Unknown,Unknown,Stone,Bay Creek,43.05609,-89.38036,Ben Isaacs,A seemingly abandoned or forgotten fountain or bird bath sits by the front wall of Olin-Turville Park.,Unverified,
Untitled,Unknown,Unknown,Brick,Bay Creek,43.05607,-89.37996,Ben Isaacs,"A brick bench erected in honor of William Davison Stovall, M.D. Signs for businesses have been placed on top of the bench, making it rather unsightly.",Unverified,
Fighting Wisconsin Badger,2011,Oscar Leon,Bronze,Campus,43.0689,-89.41126,Ben Isaacs,The statue was a gift from the National W Club in honor of the alumni athletic winners at the University of Wisconsin.,Verified,https://rotblattamrany.com/projects/the-fighting-wisconsin-badger/
The Ripple Effect,2006,Eric Powell,Metal,Bay Creek,43.05345,-89.38724,Madison Art Collection,The sculpture marks the entrance to the Goodman Pool. It features bars of metal in a pattern that illustrates the rippling effect that can be found in water.,Verified,https://airtable.com/shrknTvt8pz8Undgn/tblkZ4SesyZkElVaM/viwNc2sy55tCttQFj/recygpZ138GxmRhuV
Underflow,2005,Gail Simpson,"Metal, stone, concrete",Bay Creek,43.05197,-89.38193,Madison Art Collection,A metal sculpture in a fountain in front of Madison Water Utility.,Verified,https://airtable.com/shrknTvt8pz8Undgn/tblkZ4SesyZkElVaM/viwNc2sy55tCttQFj/rec43tuiFx8xsF6EF
CommuniTree,2014,Erika Koivunen,Metal,Marquette,43.07636,-89.37448,Madison Art Collection,,Verified,https://airtable.com/shrknTvt8pz8Undgn/tblkZ4SesyZkElVaM/viwNc2sy55tCttQFj/recOsKghvHCttHPpy
Alexa,1992,Susan Walsh,"Metal, cast iron, enamel paint, concrete",Marquette,43.07749,-89.37221,Madison Art Collection,"Local artist Susan Walsh states that the figure represents a worker. Its
 brightly colored parts of cast iron, steel aluminum, and enamel are 
giant replicas of ""found"" objects which might have come from the 19th 
century manufacturing firms across the street--a wire whisk, rotary 
disks, and a giant candlestick holder as a base. Walsh says Alexa might 
be the feminine for Alexander, a name suggesting power.",Verified,https://airtable.com/shrknTvt8pz8Undgn/tblkZ4SesyZkElVaM/viwNc2sy55tCttQFj/rec0KOFpAFwSi54X2
Taking Flight,2018,Zebradog,Stainless Steel,Marquette,43.08112,-89.37426,Gizmo Art Production,This sculpture symbolizes a bird taking flight into the world,Verified,Zebradog - Gizmo Art Production (gizmosf.com)
Willy Street Park,Unknown,Unknown,Metal,Marquette,43.08103,-89.3678,David Kwong,,Unverified,
Chinese Fu Dog Lantern,Unknown,Sid Boyum,Concrete,Marquette,43.08558,-89.35389,Madison Art Collection,"Lofty cast concrete octagonal column supports a Chinese lantern, upon which resides the form of a Fu Dog.",Verified,https://airtable.com/shrknTvt8pz8Undgn/tblkZ4SesyZkElVaM/viwNc2sy55tCttQFj/recZOoufNIf4V6nW9
Tall White Lantern,Unknown,Sid Boyum,Concrete,Schenk-Atwood,43.09222,-89.35519,Madison Art Collection,"Eight-sided hollow lantern of cast concrete, exhibiting sixteen rectangular windows, elevated by an octagonal column and topped by an octagonal lid. The entire work is painted white.",Verified,https://airtable.com/shrknTvt8pz8Undgn/tblkZ4SesyZkElVaM/viwNc2sy55tCttQFj/rec7lnEiFCALjpRp0
Geometric Abstraction,Unknown,Sid Boyum,Concrete,Schenk-Atwood,43.08997,-89.35658,Madison Art Collection,"Towering geometric abstraction of cast concrete positioned on a square base of the same material. The focal point of the sculpture is a round window that contains caulk and mortar vestiges, which suggest that perhaps a round piece of glass, or a similar material, once resided there.",Verified,https://airtable.com/shrknTvt8pz8Undgn/tblkZ4SesyZkElVaM/viwNc2sy55tCttQFj/recG06UxZDTtPzAvB
Blue Lantern on Tripod,Unknown,Sid Boyum,Concrete,Schenk-Atwood,43.09252,-89.35139,Madison Art Collection,"Towering lantern painted blue, having, as its main component, a large hollow circular form with four holes, topped with a multi-sided lid from which protrudes a fanciful shape culminating in a ball.",Verified,https://airtable.com/shrknTvt8pz8Undgn/tblkZ4SesyZkElVaM/viwNc2sy55tCttQFj/recNbAyClkzcZaVVq
Creature Abstract Head,Unknown,Sid Boyum,Concrete,Schenk-Atwood,43.09262,-89.35157,Madison Art Collection,"Cast concrete whitewashed head and torso mounted upon two cement blocks. The head is of an inverted teardrop in profile with a circular hole through the upper area, acting as the eyes of the figure, and a carved out rectangle to symbolize the mouth. THe torso with its left arm on the hip, is not in profile, giving the work a contorted look.",Verified,https://airtable.com/shrknTvt8pz8Undgn/tblkZ4SesyZkElVaM/viwNc2sy55tCttQFj/rec0AAW3MK22EqDkC
Blue Urn With Dragon,Unknown,Sid Boyum,Concrete,Schenk-Atwood,43.09345,-89.34884,Madison Art Collection,"Large cast concrete urn painted blue with an oriental style dragon in 
red wrapped around it. A blue and red flower resides at the top acting 
as a lid.",Verified,https://airtable.com/shrknTvt8pz8Undgn/tblkZ4SesyZkElVaM/viwNc2sy55tCttQFj/recOW5zqVksToZpDw
